latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
40.77492164,-73.90866404,2,0,,1,278,70
40.77925292,-73.91068171,1,2,0.27,1,0,150
40.77076609,-73.90903113,5,3,0.17,8,351,45
40.77183304,-73.90973409,5,12,0.55,8,365,55
40.7820692,-73.91582564,2,0,,1,0,47
40.77664312,-73.90895679,2,12,4.86,1,35,65
40.77862302,-73.92148911,3,11,1.91,2,332,225
40.77480759,-73.91260512,1,2,0.53,1,351,99
40.77575443,-73.91419323,1,7,0.93,1,146,48
40.77743408,-73.90893383,1,0,,1,355,100
40.7672456,-73.89550414,1,0,,1,179,70
40.77295205,-73.91708239,1,2,0.71,1,55,120
40.77234808,-73.91789432,3,0,,1,88,60
40.7742227,-73.91263023,4,12,1.2,1,191,115
40.78076239,-73.91336575,7,2,0.34,1,74,110
40.77534607,-73.90845692,1,9,0.47,1,306,65
40.77959533,-73.90840494,1,89,3.13,8,347,45
40.77346717,-73.91736605,1,0,,1,0,75
40.77028065,-73.91352418,6,135,3.85,2,56,178
40.77208837,-73.91082047,6,14,0.76,8,365,50
40.76930342,-73.90718822,1,79,2.34,6,149,60
40.77079627,-73.90036275,3,3,0.5,1,364,70
40.77545606,-73.90675444,3,3,0.5,1,343,70
40.77644881,-73.90566204,2,54,2.11,1,51,25
40.77371721,-73.91450245,1,46,2.62,5,362,45
40.77781045,-73.90756064,3,3,0.58,1,246,85
40.77849854,-73.91692551,1,3,0.72,2,13,55
40.77259195,-73.91459012,1,40,2.28,5,365,45
40.77004634,-73.91011399,2,8,1.67,1,146,62
40.77820988,-73.90971886,5,1,0.21,1,34,55
40.77651452,-73.90957837,30,14,1.4,1,320,50
40.77231318,-73.90793318,4,1,0.14,1,0,75
40.77185001,-73.9050239,2,11,0.14,1,287,140
40.77457481,-73.90882792,2,0,,1,89,80
40.77075329,-73.91017896,6,2,0.2,8,351,60
40.77240499,-73.90474048,3,38,3.08,1,13,180
40.77307178,-73.91822363,1,1,0.5,3,30,100
40.77483018,-73.91699767,1,37,1.96,1,362,50
40.77254651,-73.90630494,1,28,2.36,1,359,65
40.7702966,-73.91283101,1,0,,1,0,40
40.78031949,-73.9099018,2,11,1.1,2,27,75
40.77414926,-73.91863494,2,2,0.25,1,0,75
40.77462345,-73.90773896,1,5,1.18,1,356,87
40.77266352,-73.90267799,1,1,0.11,1,0,100
40.77199953,-73.91847714,1,2,2,1,0,60
40.77687586,-73.92782892,6,2,0.29,2,21,125
40.77415439,-73.9169528,1,1,0.14,1,0,125
40.77604946,-73.90773738,1,68,4.54,1,358,85
40.77388749,-73.90905412,2,43,3.82,4,238,210
40.77696647,-73.92237953,1,55,5.14,1,306,100
40.77730193,-73.9036867,5,1,0.05,1,10,52
40.77778967,-73.90896203,1,8,0.46,1,0,56
40.7811476,-73.90883099,2,42,3.9,2,283,95
40.7696101,-73.90451495,3,60,1.07,1,15,54
40.7778251,-73.91162761,2,0,,2,363,95
40.78026876,-73.90820569,14,0,,1,363,195
40.77205773,-73.91124449,5,41,1.86,8,247,105
40.76880856,-73.89480169,1,1,0.27,2,153,60
40.78142602,-73.92010328,3,8,2.03,1,53,75
40.77922771,-73.92169276,3,2,0.15,1,0,34
40.77742122,-73.90965026,3,1,0.05,1,365,85
40.77521923,-73.90811445,1,18,2.8,2,26,50
40.77676801,-73.91059567,1,3,1.41,1,16,100
40.77986766,-73.90308693,7,0,,1,0,75
40.7698941,-73.90735403,1,43,1.55,6,157,50
